Year,Month,NewVacancy,NewSeeker,Vacancy,Seeker,Hir
2002,1,592705,747803,1367944,2715390,124421
2002,2,597159,616711,1437095,2724744,142786
2002,3,665116,668621,1588968,2831569,193457
2002,4,622618,941809,1571092,3096241,251455
2002,5,573586,689247,1442680,3027811,196755
2002,6,542573,554152,1380185,2857651,163356
2002,7,620261,627229,1438959,2814685,167528
2002,8,589527,548212,1451105,2692976,142436
2002,9,616389,598856,1542417,2685284,166973
2002,10,675867,665110,1609468,2723666,184061
2002,11,583834,531189,1554343,2587151,156299
2002,12,502145,499407,1453547,2463954,130864
2003,1,665574,725692,1513982,2569925,133449
2003,2,657654,613541,1602350,2578948,150948
2003,3,721410,664704,1751645,2710557,204176
2003,4,672118,891258,1715171,2925681,252840
2003,5,620859,679810,1581452,2850509,199895
2003,6,611145,592727,1534779,2745950,177616
2003,7,680748,598345,1585243,2671591,172620
2003,8,642414,519964,1603148,2518749,145104
2003,9,726121,615878,1754752,2519722,185098
2003,10,783548,628197,1857801,2513230,194360
2003,11,654285,472647,1806082,2333073,155758
2003,12,605846,498600,1734371,2224136,141853
2004,1,773540,692003,1793241,2323671,140876
2004,2,742918,586750,1881985,2350837,158170
2004,3,869369,702685,2085432,2531766,229606
2004,4,774089,839621,2016387,2688519,253208
2004,5,655155,578700,1835170,2545115,189164
2004,6,738865,578697,1851809,2474029,183722
2004,7,752203,539871,1857204,2379991,167813
2004,8,729308,520291,1916956,2315840,155374
2004,9,810472,560237,2022091,2291829,180510
2004,10,832228,537583,2088862,2247992,176787
2004,11,795452,506131,2132912,2187211,168755
2004,12,668331,463306,1993904,2088448,141066
2005,1,841905,636786,2044534,2192501,138446
2005,2,828807,533886,2107621,2209317,155263
2005,3,936394,637835,2318151,2368556,218593
2005,4,821630,776338,2243139,2519075,241891
2005,5,756455,590262,2102680,2467401,195211
2005,6,820660,554658,2083286,2408154,187408
2005,7,797390,495073,2056859,2287939,163449
2005,8,829185,528677,2136331,2244773,160837
2005,9,873986,552325,2215738,2221944,177401
2005,10,868499,551882,2269764,2215726,180418
2005,11,826835,484015,2261061,2132251,168929
2005,12,706294,428280,2118800,1992464,135606
2006,1,900012,617699,2199430,2075606,136687
2006,2,917542,551253,2319197,2116746,163154
2006,3,960296,626109,2494902,2279650,225037
2006,4,841269,731005,2381173,2396132,235838
2006,5,819901,573684,2247869,2333615,198708
2006,6,849159,535569,2215597,2260488,186422
2006,7,833193,494915,2206596,2170525,165328
2006,8,867484,509752,2264754,2135287,158696
2006,9,893160,537016,2341222,2119580,179288
2006,10,883005,540894,2368486,2123769,182581
2006,11,835069,463014,2322676,2033785,165711
2006,12,730327,433868,2176097,1922987,139450
2007,1,874578,614473,2207093,2017092,138975
2007,2,876987,533761,2277838,2061352,161769
2007,3,915825,583391,2401082,2191239,212605
2007,4,813362,695167,2284334,2292480,223080
2007,5,801118,579099,2180232,2263535,197447
